S*_score	SNP_num	quantile	log(local_recomb_rate)
116475.25	25	0.5	-7.903089986991944
117062.469	25	0.505	-7.903089986991944
117914.3	25	0.51	-7.903089986991944
119330.7	25	0.515	-7.903089986991944
120028.692	25	0.52	-7.903089986991944
120995.875	25	0.525	-7.903089986991944
121374.0	25	0.53	-7.903089986991944
122458.886	25	0.535	-7.903089986991944
122613.733	25	0.54	-7.903089986991944
123801.1	25	0.545	-7.903089986991944
124137.75	25	0.55	-7.903089986991944
124678.344	25	0.555	-7.903089986991944
125062.0	25	0.56	-7.903089986991944
125455.047	25	0.565	-7.903089986991944
125880.0	25	0.57	-7.903089986991944
126078.771	25	0.575	-7.903089986991944
126512.94	25	0.58	-7.903089986991944
126862.086	25	0.585	-7.903089986991944
127810.419	25	0.59	-7.903089986991944
128089.191	25	0.595	-7.903089986991944
128284.3	25	0.6	-7.903089986991944
128939.0	25	0.605	-7.903089986991944
129757.257	25	0.61	-7.903089986991944
130338.939	25	0.615	-7.903089986991944
130768.866	25	0.62	-7.903089986991944
131485.216	25	0.625	-7.903089986991944
132620.8	25	0.63	-7.903089986991944
132841.568	25	0.635	-7.903089986991944
133143.2	25	0.64	-7.903089986991944
134066.9	25	0.645	-7.903089986991944
134710.0	25	0.65	-7.903089986991944
135465.941	25	0.655	-7.903089986991944
136009.2	25	0.66	-7.903089986991944
136696.488	25	0.665	-7.903089986991944
137309.171	25	0.67	-7.903089986991944
138131.263	25	0.675	-7.903089986991944
138682.933	25	0.68	-7.903089986991944
139212.071	25	0.685	-7.903089986991944
139481.462	25	0.69	-7.903089986991944
140307.9	25	0.695	-7.903089986991944
141402.95	25	0.7	-7.903089986991944
141735.415	25	0.705	-7.903089986991944
142374.992	25	0.71	-7.903089986991944
142798.451	25	0.715	-7.903089986991944
142938.615	25	0.72	-7.903089986991944
143257.5	25	0.725	-7.903089986991944
143461.6	25	0.73	-7.903089986991944
144019.412	25	0.735	-7.903089986991944
144880.286	25	0.74	-7.903089986991944
145447.95	25	0.745	-7.903089986991944
146462.083	25	0.75	-7.903089986991944
146985.873	25	0.755	-7.903089986991944
147143.467	25	0.76	-7.903089986991944
147344.365	25	0.765	-7.903089986991944
148387.214	25	0.77	-7.903089986991944
148845.9	25	0.775	-7.903089986991944
149474.2	25	0.78	-7.903089986991944
149881.854	25	0.785	-7.903089986991944
150260.0	25	0.79	-7.903089986991944
150585.571	25	0.795	-7.903089986991944
152645.714	25	0.8	-7.903089986991944
153685.738	25	0.805	-7.903089986991944
154614.995	25	0.81	-7.903089986991944
155493.7	25	0.815	-7.903089986991944
156640.114	25	0.82	-7.903089986991944
157045.143	25	0.825	-7.903089986991944
157781.387	25	0.83	-7.903089986991944
158446.386	25	0.835	-7.903089986991944
159133.754	25	0.84	-7.903089986991944
