S*_score	SNP_num	quantile	log(local_recomb_rate)
113548.333	25	0.5	-7.903089986991944
113915.25	25	0.505	-7.903089986991944
114327.5	25	0.51	-7.903089986991944
115696.25	25	0.515	-7.903089986991944
116273.333	25	0.52	-7.903089986991944
116550.0	25	0.525	-7.903089986991944
116947.5	25	0.53	-7.903089986991944
117587.5	25	0.535	-7.903089986991944
117810.0	25	0.54	-7.903089986991944
118262.216	25	0.545	-7.903089986991944
118730.562	25	0.55	-7.903089986991944
119536.667	25	0.555	-7.903089986991944
120260.0	25	0.56	-7.903089986991944
120347.5	25	0.565	-7.903089986991944
120575.0	25	0.57	-7.903089986991944
121369.375	25	0.575	-7.903089986991944
121618.333	25	0.58	-7.903089986991944
121980.0	25	0.585	-7.903089986991944
122330.0	25	0.59	-7.903089986991944
122585.0	25	0.595	-7.903089986991944
124613.333	25	0.6	-7.903089986991944
124820.0	25	0.605	-7.903089986991944
125850.0	25	0.61	-7.903089986991944
127015.0	25	0.615	-7.903089986991944
127430.0	25	0.62	-7.903089986991944
127695.625	25	0.625	-7.903089986991944
129656.667	25	0.63	-7.903089986991944
130311.25	25	0.635	-7.903089986991944
130650.5	25	0.64	-7.903089986991944
131437.5	25	0.645	-7.903089986991944
132630.0	25	0.65	-7.903089986991944
133625.833	25	0.655	-7.903089986991944
134490.0	25	0.66	-7.903089986991944
135378.75	25	0.665	-7.903089986991944
136005.0	25	0.67	-7.903089986991944
136823.375	25	0.675	-7.903089986991944
137815.833	25	0.68	-7.903089986991944
140007.5	25	0.685	-7.903089986991944
140600.0	25	0.69	-7.903089986991944
142392.5	25	0.695	-7.903089986991944
143250.0	25	0.7	-7.903089986991944
143535.0	25	0.705	-7.903089986991944
143942.5	25	0.71	-7.903089986991944
144277.917	25	0.715	-7.903089986991944
144340.0	25	0.72	-7.903089986991944
146120.438	25	0.725	-7.903089986991944
146727.5	25	0.73	-7.903089986991944
148340.0	25	0.735	-7.903089986991944
148587.619	25	0.74	-7.903089986991944
149031.266	25	0.745	-7.903089986991944
149644.67	25	0.75	-7.903089986991944
150187.542	25	0.755	-7.903089986991944
150680.0	25	0.76	-7.903089986991944
151072.5	25	0.765	-7.903089986991944
151939.0	25	0.77	-7.903089986991944
153091.25	25	0.775	-7.903089986991944
153473.833	25	0.78	-7.903089986991944
153671.875	25	0.785	-7.903089986991944
153842.5	25	0.79	-7.903089986991944
154627.238	25	0.795	-7.903089986991944
155120.0	25	0.8	-7.903089986991944
155390.0	25	0.805	-7.903089986991944
156075.0	25	0.81	-7.903089986991944
